Entry,Entry Name,Gene Names,Protein names,Length,source_query,intended_gene,protac_validated,gene_symbol
Q9UBN7,HDAC6_HUMAN,HDAC6 KIAA0901 JM21,Protein deacetylase HDAC6 (EC 3.5.1.-) (E3 ubiquitin-protein ligase HDAC6) (EC 2.3.2.-) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-),1215,direct_e3,,False,HDAC6
Q9P203,BTBD7_HUMAN,BTBD7 KIAA1525,BTB/POZ domain-containing protein 7,1132,btb_socs,,False,BTBD7
Q9NYG5,APC11_HUMAN,ANAPC11 HSPC214,Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein),84,direct_e3,,False,ANAPC11
Q9NYS7,WSB2_HUMAN,WSB2,WD repeat and SOCS box-containing protein 2 (WSB-2) (CS box-containing WD protein),404,"btb_socs,direct_e3",,False,WSB2
Q9NZJ0,DTL_HUMAN,DTL CDT2 CDW1 DCAF2 L2DTL RAMP,Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein),730,"direct_e3,substrate_adapters",,False,DTL
Q9NZS9,BFAR_HUMAN,BFAR BAR RNF47,Bifunctional apoptosis regulator (EC 2.3.2.27) (RING finger protein 47),450,direct_e3,,False,BFAR
Q9P000,COMD9_HUMAN,COMMD9 HSPC166,COMM domain-containing protein 9,198,direct_e3,,False,COMMD9
Q9P086,MED11_HUMAN,MED11 HSPC296,Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11),117,direct_e3,,False,MED11
Q9P0J7,KCMF1_HUMAN,KCMF1 FIGC ZZZ1,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1),381,direct_e3,,False,KCMF1
Q9P0N8,MARH2_HUMAN,MARCHF2 MARCH2 RNF172 HSPC240,E3 ubiquitin-protein ligase MARCHF2 (EC 2.3.2.27) (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCHF2),246,direct_e3,,False,MARCHF2
Q9P0P0,RN181_HUMAN,RNF181 HSPC238,E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181),153,direct_e3,,False,RNF181
Q9P0U1,TOM7_HUMAN,TOMM7 TOM7 TOMM07 AD-014,Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog),55,direct_e3,,False,TOMM7
Q9P253,VPS18_HUMAN,VPS18 KIAA1475,Vacuolar protein sorting-associated protein 18 homolog (hVPS18),973,direct_e3,,False,VPS18
Q9UBI1,COMD3_HUMAN,COMMD3 BUP C10orf8,COMM domain-containing protein 3 (Protein Bup) (Protein PIL),195,direct_e3,,False,COMMD3
Q9P275,UBP36_HUMAN,USP36 KIAA1453,Ubiquitin carboxyl-terminal hydrolase 36 (EC 2.3.2.-) (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36),1123,direct_e3,,False,USP36
Q9P2E8,MARH4_HUMAN,MARCHF4 KIAA1399 MARCH4 RNF174,E3 ubiquitin-protein ligase MARCHF4 (EC 2.3.2.27) (Membrane-associated RING finger protein 4) (Membrane-associated RING-CH protein IV) (MARCH-IV) (RING finger protein 174) (RING-type E3 ubiquitin transferase MARCHF4),410,direct_e3,,False,MARCHF4
Q9P2G1,AKIB1_HUMAN,ANKIB1 KIAA1386,Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31),1089,direct_e3,,False,ANKIB1
Q9P2G9,KLHL8_HUMAN,KLHL8 KIAA1378,Kelch-like protein 8,620,"direct_e3,substrate_adapters",,False,KLHL8
Q9P2J3,KLHL9_HUMAN,KLHL9 KIAA1354,Kelch-like protein 9,617,direct_e3,,False,KLHL9
Q9P2K6,KLH42_HUMAN,KLHL42 KIAA1340 KLHDC5,Kelch-like protein 42 (Cullin-3-binding protein 9) (Ctb9) (Kelch domain-containing protein 5),505,direct_e3,,False,KLHL42
Q9P2N7,KLH13_HUMAN,KLHL13 BKLHD2 KIAA1309,Kelch-like protein 13 (BTB and kelch domain-containing protein 2),655,direct_e3,,False,KLHL13
Q9P2P5,HECW2_HUMAN,HECW2 KIAA1301 NEDL2,"E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)",1572,direct_e3,,False,HECW2
Q9UBF1,MAGC2_HUMAN,MAGEC2 HCA587 MAGEE1,Melanoma-associated antigen C2 (Cancer/testis antigen 10) (CT10) (Hepatocellular carcinoma-associated antigen 587) (MAGE-C2 antigen) (MAGE-E1 antigen),373,direct_e3,,False,MAGEC2
Q9UBF6,RBX2_HUMAN,RNF7 RBX2 ROC2 SAG,RING-box protein 2 (Rbx2) (EC 2.3.2.27) (EC 2.3.2.32) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein),113,direct_e3,,False,RNF7
Q9UKB1,FBW1B_HUMAN,FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696,F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS),542,"direct_e3,f_box,substrate_adapters",,False,FBXW11
Q9UKT4,FBX5_HUMAN,FBXO5 EMI1 FBX5,F-box only protein 5 (Early mitotic inhibitor 1),447,f_box,,False,FBXO5
Q9NXV2,KCTD5_HUMAN,KCTD5,BTB/POZ domain-containing protein KCTD5,234,btb_socs,,False,KCTD5
Q9UKT5,FBX4_HUMAN,FBXO4 FBX4,F-box only protein 4,387,"direct_e3,f_box,substrate_adapters",,False,FBXO4
Q9Y314,NOSIP_HUMAN,NOSIP CGI-25,Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein),301,direct_e3,,False,NOSIP
Q9Y385,UB2J1_HUMAN,UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205,Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1) (Yeast ubiquitin-conjugating enzyme UBC6 homolog E) (HsUBC6e),318,direct_e3,,False,UBE2J1
Q9Y3C5,RNF11_HUMAN,RNF11 CGI-123,RING finger protein 11,154,direct_e3,,False,RNF11
Q9Y3C7,MED31_HUMAN,MED31 SOH1 CGI-125,Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit SOH1) (hSOH1),131,direct_e3,,False,MED31
Q9Y3I1,FBX7_HUMAN,FBXO7 FBX7,F-box only protein 7,522,"direct_e3,f_box,substrate_adapters",,False,FBXO7
Q9Y4B4,ARIP4_HUMAN,RAD54L2 ARIP4 KIAA0809,Helicase ARIP4 (EC 5.6.2.-) (Androgen receptor-interacting protein 4) (RAD54-like protein 2),1467,direct_e3,,False,RAD54L2
Q9Y4D8,HECD4_HUMAN,HECTD4 C12orf51 KIAA0614,Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4),3996,direct_e3,,False,HECTD4
Q9Y4K3,TRAF6_HUMAN,TRAF6 RNF85,TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6),522,direct_e3,,False,TRAF6
Q9Y4L5,RN115_HUMAN,RNF115 ZNF364,E3 ubiquitin-protein ligase RNF115 (EC 2.3.2.27) (RING finger protein 115) (RING-type E3 ubiquitin transferase RNF115) (Rab7-interacting RING finger protein) (Rabring 7) (Zinc finger protein 364),304,direct_e3,,False,RNF115
Q9Y4X5,ARI1_HUMAN,ARIH1 ARI MOP6 UBCH7BP HUSSY-27,E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1),557,direct_e3,,False,ARIH1
Q9Y573,IPP_HUMAN,IPP KLHL27,Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27),584,substrate_adapters,,False,IPP
Q9Y574,ASB4_HUMAN,ASB4,Ankyrin repeat and SOCS box protein 4 (ASB-4),426,"btb_socs,direct_e3",,False,ASB4
Q9Y575,ASB3_HUMAN,ASB3,Ankyrin repeat and SOCS box protein 3 (ASB-3),518,"btb_socs,direct_e3",,False,ASB3
Q9Y576,ASB1_HUMAN,ASB1 KIAA1146,Ankyrin repeat and SOCS box protein 1 (ASB-1),335,"btb_socs,substrate_adapters",,False,ASB1
Q9Y577,TRI17_HUMAN,TRIM17 RBCC RNF16 TERF,E3 ubiquitin-protein ligase TRIM17 (EC 2.3.2.27) (RING finger protein 16) (RING-type E3 ubiquitin transferase TRIM17) (Testis RING finger protein) (Tripartite motif-containing protein 17),477,direct_e3,,False,TRIM17
Q9Y597,KCTD3_HUMAN,KCTD3,BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45),815,btb_socs,,False,KCTD3
Q9Y5U4,INSI2_HUMAN,INSIG2,Insulin-induced gene 2 protein (INSIG-2),225,direct_e3,,False,INSIG2
Q9Y5V3,MAGD1_HUMAN,MAGED1 NRAGE PP2250 PRO2292,Melanoma-associated antigen D1 (MAGE tumor antigen CCF) (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog),778,direct_e3,,False,MAGED1
Q9Y6G5,COMDA_HUMAN,COMMD10 HSPC305 PTD002,COMM domain-containing protein 10,202,direct_e3,,False,COMMD10
Q9Y6H5,SNCAP_HUMAN,SNCAIP,Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein),919,direct_e3,,False,SNCAIP
Q9Y6I7,WSB1_HUMAN,WSB1 SWIP1,WD repeat and SOCS box-containing protein 1 (WSB-1) (SOCS box-containing WD protein SWiP-1),421,"btb_socs,direct_e3",,False,WSB1
Q9Y6U7,RN215_HUMAN,RNF215,RING finger protein 215,377,direct_e3,,False,RNF215
Q9Y6Y0,NS1BP_HUMAN,IVNS1ABP ARA3 FLARA3 KIAA0850 KLHL39 NS1 NS1BP HSPC068,Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3) (Kelch-like protein 39),642,"direct_e3,substrate_adapters",,False,IVNS1ABP
Q9Y2X8,UB2D4_HUMAN,UBE2D4 UBCH5D,Ubiquitin-conjugating enzyme E2 D4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D4) (HBUCE1) (Ubiquitin carrier protein D4) (Ubiquitin-protein ligase D4),147,direct_e3,,False,UBE2D4
Q9Y2U9,KLDC2_HUMAN,KLHDC2 HCA33,Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1),406,"direct_e3,substrate_adapters",,False,KLHDC2
Q9Y2M5,KLH20_HUMAN,KLHL20 KLEIP KLHLX,Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X),609,"direct_e3,substrate_adapters",,False,KLHL20
Q9UM11,FZR1_HUMAN,FZR1 CDH1 FYR FZR KIAA1242,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),496,"direct_e3,substrate_adapters",,False,FZR1
Q9UKT6,FXL21_HUMAN,FBXL21P FBL21 FBL3 FBXL21 FBXL3B FBXL3P,Putative F-box/LRR-repeat protein 21 (F-box and leucine-rich repeat protein 21) (F-box and leucine-rich repeat protein 3B) (F-box/LRR-repeat protein 3B),434,"direct_e3,f_box",,False,FBXL21P
Q9UKT7,FBXL3_HUMAN,FBXL3 FBL3A FBXL3A,F-box/LRR-repeat protein 3 (F-box and leucine-rich repeat protein 3A) (F-box/LRR-repeat protein 3A),428,"direct_e3,f_box",,False,FBXL3
Q9UKT8,FBXW2_HUMAN,FBXW2 FBW2 FWD2,F-box/WD repeat-containing protein 2 (F-box and WD-40 domain-containing protein 2) (Protein MD6),454,"direct_e3,f_box",,False,FBXW2
Q9UKV5,AMFR_HUMAN,AMFR RNF45,E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78),643,direct_e3,,False,AMFR
Q9UL63,MKLN1_HUMAN,MKLN1,Muskelin,735,direct_e3,,False,MKLN1
Q9ULK6,RN150_HUMAN,RNF150 KIAA1214,RING finger protein 150,438,direct_e3,,False,RNF150
Q9ULT6,ZNRF3_HUMAN,ZNRF3 KIAA1133 RNF203,E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING finger protein 203) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3),936,direct_e3,,False,ZNRF3
Q9ULT8,HECD1_HUMAN,HECTD1 KIAA1131,E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1),2610,direct_e3,,False,HECTD1
Q9ULV8,CBLC_HUMAN,CBLC CBL3 RNF57,E3 ubiquitin-protein ligase CBL-C (EC 2.3.2.27) (RING finger protein 57) (RING-type E3 ubiquitin transferase CBL-C) (SH3-binding protein CBL-3) (SH3-binding protein CBL-C) (Signal transduction protein CBL-C),474,direct_e3,,False,CBLC
Q9ULX5,RN112_HUMAN,RNF112 BFP ZNF179,RING finger protein 112 (EC 2.3.2.27) (Brain finger protein) (Zinc finger protein 179),631,direct_e3,,False,RNF112
Q9UM13,APC10_HUMAN,ANAPC10 APC10,Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10),185,direct_e3,,False,ANAPC10
Q9Y2K7,KDM2A_HUMAN,KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004,Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),1162,f_box,,False,KDM2A
Q9UMS4,PRP19_HUMAN,PRPF19 NMP200 PRP19 SNEV,Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor),504,direct_e3,,False,PRPF19
Q9UNE7,CHIP_HUMAN,STUB1 CHIP PP1131,E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1),303,direct_e3,,False,STUB1
Q9UPN9,TRI33_HUMAN,TRIM33 KIAA1113 RFG7 TIF1G,E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33),1127,direct_e3,,False,TRIM33
Q9UPQ4,TRI35_HUMAN,TRIM35 HLS5 KIAA1098,E3 ubiquitin-protein ligase TRIM35 (EC 2.3.2.27) (Hemopoietic lineage switch protein 5),493,direct_e3,,False,TRIM35
Q9UPQ7,PZRN3_HUMAN,PDZRN3 KIAA1095 LNX3 SEMCAP3,E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (Ligand of Numb protein X 3) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3),1066,direct_e3,,False,PDZRN3
Q9Y239,NOD1_HUMAN,NOD1 CARD4,Nucleotide-binding oligomerization domain-containing protein 1 (hNod1) (Caspase recruitment domain-containing protein 4),953,direct_e3,,False,NOD1
Q9Y252,RNF6_HUMAN,RNF6 SPG2,E3 ubiquitin-protein ligase RNF6 (EC 2.3.2.27),685,direct_e3,,False,RNF6
Q9Y297,FBW1A_HUMAN,BTRC BTRCP FBW1A FBXW1A,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),605,"direct_e3,f_box,substrate_adapters",,False,BTRC
Q9Y2E6,DTX4_HUMAN,DTX4 KIAA0937 RNF155,E3 ubiquitin-protein ligase DTX4 (EC 2.3.2.27) (Protein deltex-4) (Deltex4) (RING finger protein 155) (RING-type E3 ubiquitin transferase DTX4),619,direct_e3,,False,DTX4
Q9Y2F9,BTBD3_HUMAN,BTBD3 KIAA0952,BTB/POZ domain-containing protein 3,522,btb_socs,,False,BTBD3
Q9NYA1,SPHK1_HUMAN,SPHK1 SK1 SPHK SPK,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-),384,direct_e3,,False,SPHK1
Q9NXS3,KLH28_HUMAN,KLHL28 BTBD5,Kelch-like protein 28 (BTB/POZ domain-containing protein 5),571,"btb_socs,substrate_adapters",,False,KLHL28
Q9BY78,RNF26_HUMAN,RNF26,E3 ubiquitin-protein ligase RNF26 (EC 2.3.2.27) (RING finger protein 26),433,direct_e3,,False,RNF26
Q9H8W5,TRI45_HUMAN,TRIM45 RNF99,E3 ubiquitin-protein ligase TRIM45 (EC 2.3.2.27) (RING finger protein 99),580,direct_e3,,False,TRIM45
Q9H0C5,BTBD1_HUMAN,BTBD1 C15orf1 NS5ATP8,BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8),482,"btb_socs,direct_e3",,False,BTBD1
Q9H0F5,RNF38_HUMAN,RNF38,E3 ubiquitin-protein ligase RNF38 (EC 2.3.2.27) (RING finger protein 38) (RING-type E3 ubiquitin transferase RNF38),515,direct_e3,,False,RNF38
Q9H0F6,SHRPN_HUMAN,SHARPIN SIPL1 PSEC0216,Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (hSIPL1),387,direct_e3,,False,SHARPIN
Q9H0H3,KLH25_HUMAN,KLHL25 ENC2,Kelch-like protein 25 (Ectoderm-neural cortex protein 2) (ENC-2),589,"direct_e3,substrate_adapters",,False,KLHL25
Q9H0M0,WWP1_HUMAN,WWP1,NEDD4-like E3 ubiquitin-protein ligase WWP1 (EC 2.3.2.26) (Atrophin-1-interacting protein 5) (AIP5) (HECT-type E3 ubiquitin transferase WWP1) (TGIF-interacting ubiquitin ligase 1) (Tiul1) (WW domain-containing protein 1),922,direct_e3,,False,WWP1
Q9H0X6,RN208_HUMAN,RNF208,RING finger protein 208,261,direct_e3,,False,RNF208
Q9H1A4,APC1_HUMAN,ANAPC1 TSG24,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),1944,direct_e3,,False,ANAPC1
Q9H1B7,I2BPL_HUMAN,IRF2BPL C14orf4 EAP1 KIAA1865 My039,Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like),796,direct_e3,,False,IRF2BPL
Q9H270,VPS11_HUMAN,VPS11 RNF108 PP3476,Vacuolar protein sorting-associated protein 11 homolog (hVPS11) (RING finger protein 108),941,direct_e3,,False,VPS11
Q9H2C0,GAN_HUMAN,GAN GAN1 KLHL16,Gigaxonin (Kelch-like protein 16),597,"direct_e3,substrate_adapters",,False,GAN
Q9H2S5,RNF39_HUMAN,RNF39 HZFW,RING finger protein 39 (EC 2.3.2.27) (Protein HZFw),420,direct_e3,,False,RNF39
Q9H2X6,HIPK2_HUMAN,HIPK2,Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1),1198,direct_e3,,False,HIPK2
Q9H3F6,BACD3_HUMAN,KCTD10 ULR061 MSTP028,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10),313,"btb_socs,direct_e3",,False,KCTD10
Q9H469,FXL15_HUMAN,FBXL15 FBXO37,F-box/LRR-repeat protein 15 (F-box only protein 37),300,"direct_e3,f_box",,False,FBXL15
Q9H4M3,FBX44_HUMAN,FBXO44 FBG3 FBX30 FBX44 FBX6A FBXO6A,F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3),255,"f_box,substrate_adapters",,False,FBXO44
Q9H4P4,RNF41_HUMAN,RNF41 FLRF NRDP1 SBBI03,E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1),317,direct_e3,,False,RNF41
Q9H5I1,SUV92_HUMAN,SUV39H2 KMT1B,Histone-lysine N-methyltransferase SUV39H2 (EC 2.1.1.-) (Histone H3-K9 methyltransferase 2) (H3-K9-HMTase 2) (Lysine N-methyltransferase 1B) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2),410,substrate_adapters,,False,SUV39H2
Q9H672,ASB7_HUMAN,ASB7,Ankyrin repeat and SOCS box protein 7 (ASB-7),318,"btb_socs,direct_e3,substrate_adapters",,False,ASB7
Q9H6Y7,RN167_HUMAN,RNF167 RING105 LP2254,E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167),350,direct_e3,,False,RNF167
Q9H765,ASB8_HUMAN,ASB8 PP14212,Ankyrin repeat and SOCS box protein 8 (ASB-8),288,"btb_socs,direct_e3",,False,ASB8
Q9H7D7,WDR26_HUMAN,WDR26 CDW2 MIP2 PRO0852,WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2),661,direct_e3,,False,WDR26
Q9H832,UBE2Z_HUMAN,UBE2Z HOYS7,Ubiquitin-conjugating enzyme E2 Z (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Z) (Uba6-specific E2 conjugating enzyme 1) (Use1) (Ubiquitin carrier protein Z) (Ubiquitin-protein ligase Z),354,direct_e3,,False,UBE2Z
Q9H871,RMD5A_HUMAN,RMND5A,E3 ubiquitin-protein transferase RMND5A (EC 2.3.2.27) (P44CTLH) (Protein RMD5 homolog A),391,direct_e3,,False,RMND5A
Q9H0A8,COMD4_HUMAN,COMMD4,COMM domain-containing protein 4,199,direct_e3,,False,COMMD4
Q9H040,SPRTN_HUMAN,SPRTN C1orf124 DVC1 UNQ1880/PRO4323,DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (DNA damage protein targeting VCP) (DVC1) (Protein with SprT-like domain at the N terminus) (Spartan),489,direct_e3,,False,SPRTN
Q9H000,MKRN2_HUMAN,MKRN2 RNF62 HSPC070,E3 ubiquitin-protein ligase makorin-2 (EC 2.3.2.27) (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2),416,direct_e3,,False,MKRN2
Q9C026,TRIM9_HUMAN,TRIM9 KIAA0282 RNF91,E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9),710,direct_e3,,False,TRIM9
Q9BYE7,PCGF6_HUMAN,PCGF6 MBLR RNF134,Polycomb group RING finger protein 6 (Mel18 and Bmi1-like RING finger) (RING finger protein 134),350,direct_e3,,False,PCGF6
Q9BYJ4,TRI34_HUMAN,TRIM34 IFP1 RNF21,E3 ubiquitin-protein ligase TRIM34 (EC 2.3.2.27) (Interferon-responsive finger protein 1) (RING finger protein 21),488,direct_e3,,False,TRIM34
Q9BYM8,HOIL1_HUMAN,RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4,RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3),510,direct_e3,,False,RBCK1
Q9BYV2,TRI54_HUMAN,TRIM54 MURF MURF3 RNF30,Tripartite motif-containing protein 54 (Muscle-specific RING finger protein) (MuRF) (Muscle-specific RING finger protein 3) (MuRF-3) (MuRF3) (RING finger protein 30),358,direct_e3,,False,TRIM54
Q9BYV6,TRI55_HUMAN,TRIM55 MURF2 RNF29,Tripartite motif-containing protein 55 (EC 2.3.2.27) (Muscle-specific RING finger protein 2) (MuRF-2) (MuRF2) (RING finger protein 29),548,"direct_e3,substrate_adapters",,False,TRIM55
Q9BYZ6,RHBT2_HUMAN,RHOBTB2 DBC2 KIAA0717,Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein) (p83),727,"direct_e3,substrate_adapters",,False,RHOBTB2
Q9BZK7,TBL1R_HUMAN,TBL1XR1 IRA1 TBLR1,F-box-like/WD repeat-containing protein TBL1XR1 (Nuclear receptor corepressor/HDAC3 complex subunit TBLR1) (TBL1-related protein 1) (Transducin beta-like 1X-related protein 1),514,f_box,,False,TBL1XR1
Q9BZR9,TRIM8_HUMAN,TRIM8 GERP RNF27,E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8),551,direct_e3,,False,TRIM8
Q8N653,LZTR1_HUMAN,LZTR1 TCFL2,Leucine-zipper-like transcriptional regulator 1 (LZTR-1),840,direct_e3,,False,LZTR1
Q9C019,TRI15_HUMAN,TRIM15 RNF93 ZNF178 ZNFB7,E3 ubiquitin-protein ligase TRIM15 (EC 2.3.2.27) (RING finger protein 93) (Zinc finger protein 178) (Zinc finger protein B7),465,direct_e3,,False,TRIM15
Q9C029,TRIM7_HUMAN,TRIM7 GNIP RNF90,E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (RING finger protein 90) (Tripartite motif-containing protein 7),511,direct_e3,,False,TRIM7
Q9GZS3,SKI8_HUMAN,SKIC8 WDR61,"Superkiller complex protein 8 (Ski8) (Meiotic recombination REC14 protein homolog) (WD repeat-containing protein 61) [Cleaved into: Superkiller complex protein 8, N-terminally processed (WD repeat-containing protein 61, N-terminally processed)]",305,direct_e3,,False,SKIC8
Q9C030,TRIM6_HUMAN,TRIM6 RNF89,Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING finger protein 89) (RING-type E3 ubiquitin transferase TRIM6),488,direct_e3,,False,TRIM6
Q9C035,TRIM5_HUMAN,TRIM5 RNF88,Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5),493,direct_e3,,False,TRIM5
Q9C037,TRIM4_HUMAN,TRIM4 RNF87,E3 ubiquitin-protein ligase TRIM4 (EC 2.3.2.27) (RING finger protein 87) (RING-type E3 ubiquitin transferase TRIM4) (Tripartite motif-containing protein 4),500,direct_e3,,False,TRIM4
